var,type,date,rmsi,spread,bias,count,cr
t,181,2018-11-22T19:00:00Z,6.87400454862304,262.80653605562,-0.348033694349302,50684,38.2319409591115
u,287,2018-11-22T19:00:00Z,1.25553576764333,90.9319210051252,0.601196659267652,68096,72.4247953332355
u,281,2018-11-22T19:00:00Z,1.44420177019213,27.5952181140124,0.087897050684056,50069,19.1075919470319
v,287,2018-11-22T19:00:00Z,1.13771261636301,13.1195096898169,-1.57281258396969,68096,11.5314794800789
v,281,2018-11-22T19:00:00Z,2.46600561605694,16.6115837220802,-0.936955897481475,50069,6.73623109936044
t,187,2018-11-22T20:00:00Z,6.37257186298519,15.390055069242,-1.09223263594464,157239,2.41504613837851
t,181,2018-11-22T20:00:00Z,8.20220314667894,225.270222722207,-0.108204893706628,52309,27.4645992904258
u,287,2018-11-22T20:00:00Z,2.06023568438108,100.917223066202,0.600005651386498,69131,48.9833390574042
u,281,2018-11-22T20:00:00Z,1.73846591968026,13.1833585067724,0.436254114271204,51194,7.5833287023522
v,287,2018-11-22T20:00:00Z,0.961918541411433,12.4437277976269,-1.11941171784294,69131,12.9363633841262
v,281,2018-11-22T20:00:00Z,1.90469792426916,17.3541290273114,-0.491280040137516,51194,9.11122378314675
t,187,2018-11-22T21:00:00Z,6.65296842468911,6.27476050776183,-1.18262003136889,155973,0.943152004821824
t,181,2018-11-22T21:00:00Z,12.1867637050433,117.591126639393,0.165080115645561,58515,9.64908563794748
